X Y |E| dxE dyE 
5 34 0.0053817 -0.00364061 0.00396341
5 35 0.00480698 -0.00285209 0.00386944
5 36 0.00433889 -0.00210549 0.0037938
5 37 0.00399048 -0.00138823 0.00374122
5 38 0.00377782 -0.000689596 0.00371435
5 39 0 0 0
6 0 1.15355 0 1.15355
6 1 1.10232 -0.136064 1.09389
6 2 1.02628 -0.249986 0.995372
6 3 0.941843 -0.33072 0.881869
6 4 0.858188 -0.37807 0.770422
6 5 0.779191 -0.397707 0.670051
6 6 0.706145 -0.396893 0.584052
6 7 0.639374 -0.382224 0.512546
6 8 0.578909 -0.358871 0.454255
6 9 0.524771 -0.330604 0.407537
6 10 0.477122 -0.300091 0.370933
6 11 0.436441 -0.26927 0.343474
6 12 0.40381 -0.239714 0.324962
6 13 0.381535 -0.213062 0.316502
6 14 0.374744 -0.191794 0.321944
6 15 0.396551 -0.181354 0.352652
6 16 0.487906 -0.197851 0.44599
6 17 0.300782 -0.300782 0
6 18 0 0 0
6 19 0 0 0
6 20 0 0 0
6 21 0.0726228 -0.0592833 -0.0419471
6 22 0.0454937 -0.0418776 -0.0177746
6 23 0.032361 -0.0317358 -0.00633011
6 24 0.0247876 -0.0247837 -0.000440566
6 25 0.0198971 -0.0197153 0.00268349
6 26 0.0164931 -0.0159177 0.00431842
6 27 0.0139874 -0.0130171 0.00511876
6 28 0.0120584 -0.0107588 0.00544531
6 29 0.0105187 -0.00896267 0.00550578
6 30 0.00925487 -0.00749966 0.00542289
6 31 0.00819629 -0.00627741 0.00527004
6 32 0.00729869 -0.00522957 0.0050914
6 33 0.00653483 -0.00430837 0.00491345
6 34 0.00588939 -0.00347909 0.00475193
6 35 0.0053559 -0.00271621 0.00461605
6 36 0.00493473 -0.0020005 0.00451105
6 37 0.00463108 -0.00131703 0.00443986
6 38 0.00445219 -0.000653685 0.00440395
6 39 0 0 0
7 0 1.01748 0 1.01748
7 1 0.984913 -0.0985514 0.97997
7 2 0.933092 -0.184654 0.914638
7 3 0.871334 -0.250601 0.834519
7 4 0.80642 -0.294336 0.750786
7 5 0.742325 -0.317785 0.670864
7 6 0.681125 -0.324751 0.598722
7 7 0.623863 -0.319401 0.535899
7 8 0.571099 -0.305494 0.482522
7 9 0.523219 -0.286131 0.438049
7 10 0.480618 -0.263795 0.401754
7 11 0.443862 -0.240546 0.37303
7 12 0.413866 -0.218297 0.351613
7 13 0.392144 -0.199219 0.33777
7 14 0.381088 -0.186409 0.332385
7 15 0.383757 -0.185122 0.336154
7 16 0.399519 -0.204757 0.343059
7 17 0.396604 -0.258505 0.300782
7 18 0.331141 -0.331141 0
7 19 0.224049 -0.224049 0
7 20 0.179591 -0.169524 -0.0592833
7 21 0.0971752 -0.0940252 -0.0245414
7 22 0.0592798 -0.0587863 -0.00763276
7 23 0.0399954 -0.0399906 0.000622006
7 24 0.0291591 -0.0287895 0.00462779
7 25 0.0225214 -0.0215687 0.00648115
7 26 0.0181527 -0.0166555 0.00721901
7 27 0.0150998 -0.0131751 0.00737701
7 28 0.0128567 -0.0106233 0.00724147
7 29 0.0111391 -0.00868998 0.00696879
7 30 0.00978023 -0.00717601 0.00664514
7 31 0.0086787 -0.00595014 0.00631788
7 32 0.00777176 -0.00492431 0.00601261
7 33 0.00702056 -0.00403849 0.00574273
7 34 0.00640183 -0.00325118 0.00551482
7 35 0.00590292 -0.00253314 0.00533175
7 36 0.00551858 -0.00186326 0.00519452
7 37 0.00524834 -0.00122572 0.00510321
