X Y V 
4 58 -8.99851
4 59 -8.9924
4 60 -8.98546
4 61 -8.97762
4 62 -8.96883
4 63 -8.95903
4 64 -8.94814
4 65 -8.93608
4 66 -8.92274
4 67 -8.90803
4 68 -8.8918
4 69 -8.87392
4 70 -8.85423
4 71 -8.83254
4 72 -8.80862
4 73 -8.78224
4 74 -8.75311
4 75 -8.72089
4 76 -8.6852
4 77 -8.64557
4 78 -8.60146
4 79 -8.55223
4 80 -8.49711
4 81 -8.43517
4 82 -8.36527
4 83 -8.28602
4 84 -8.1957
4 85 -8.09214
4 86 -7.97261
4 87 -7.83357
4 88 -7.67045
4 89 -7.47722
4 90 -7.24582
4 91 -6.96535
4 92 -6.62095
4 93 -6.19221
4 94 -5.65134
4 95 -4.96159
4 96 -4.07797
4 97 -2.95546
4 98 -1.57536
4 99 0
5 0 0
5 1 -1.25878
5 2 -2.41485
5 3 -3.41505
5 4 -4.25086
5 5 -4.93782
5 6 -5.4997
5 7 -5.96029
5 8 -6.34014
5 9 -6.65592
5 10 -6.92071
5 11 -7.14467
5 12 -7.33567
5 13 -7.49983
5 14 -7.64192
5 15 -7.7657
5 16 -7.87416
5 17 -7.9697
5 18 -8.05425
5 19 -8.12941
5 20 -8.19645
5 21 -8.25647
5 22 -8.31036
5 23 -8.35888
5 24 -8.40266
5 25 -8.44225
5 26 -8.4781
5 27 -8.51062
5 28 -8.54015
5 29 -8.56699
5 30 -8.59139
5 31 -8.61359
5 32 -8.63378
5 33 -8.65213
5 34 -8.66879
5 35 -8.6839
5 36 -8.69757
5 37 -8.70992
5 38 -8.72102
5 39 -8.73097
5 40 -8.73983
5 41 -8.74765
5 42 -8.7545
5 43 -8.76042
5 44 -8.76545
5 45 -8.76962
5 46 -8.77295
5 47 -8.77547
5 48 -8.7772
5 49 -8.77813
5 50 -8.77828
5 51 -8.77765
5 52 -8.77622
5 53 -8.774
5 54 -8.77096
5 55 -8.76708
5 56 -8.76234
5 57 -8.7567
5 58 -8.75013
5 59 -8.74257
5 60 -8.73397
5 61 -8.72427
5 62 -8.71341
5 63 -8.70129
5 64 -8.68784
5 65 -8.67293
5 66 -8.65646
5 67 -8.6383
5 68 -8.61827
5 69 -8.59623
5 70 -8.57196
5 71 -8.54524
5 72 -8.51581
5 73 -8.48338
5 74 -8.44759
5 75 -8.40805
5 76 -8.3643
5 77 -8.31579
5 78 -8.26189
5 79 -8.20184
5 80 -8.13474
5 81 -8.05951
5 82 -7.97486
5 83 -7.8792
5 84 -7.7706
5 85 -7.64666
5 86 -7.50439
5 87 -7.34002
5 88 -7.14878
5 89 -6.92456
5 90 -6.65949
5 91 -6.34341
5 92 -5.96323
5 93 -5.50229
5 94 -4.94004
5 95 -4.25268
5 96 -3.41645
5 97 -2.4158
5 98 -1.25927
5 99 0
6 0 0
6 1 -1.04534
6 2 -2.03091
6 3 -2.91768
6 4 -3.69051
6 5 -4.35123
6 6 -4.91066
6 7 -5.38282
6 8 -5.78174
6 9 -6.12
6 10 -6.40825
6 11 -6.6553
6 12 -6.86827
6 13 -7.05295
6 14 -7.21399
6 15 -7.35514
6 16 -7.47947
6 17 -7.58947
6 18 -7.68718
6 19 -7.77431
6 20 -7.85226
6 21 -7.92221
6 22 -7.98514
6 23 -8.04191
6 24 -8.09321
6 25 -8.13967
6 26 -8.1818
6 27 -8.22005
6 28 -8.25482
6 29 -8.28646
6 30 -8.31524
6 31 -8.34144
6 32 -8.36529
6 33 -8.38697
6 34 -8.40668
6 35 -8.42455
6 36 -8.44074
6 37 -8.45535
6 38 -8.46851
6 39 -8.48029
6 40 -8.49078
6 41 -8.50006
6 42 -8.50818
6 43 -8.5152
6 44 -8.52116
6 45 -8.52611
6 46 -8.53006
6 47 -8.53305
6 48 -8.5351
6 49 -8.53621
6 50 -8.53638
6 51 -8.53563
6 52 -8.53394
6 53 -8.53131
6 54 -8.5277
6 55 -8.5231
6 56 -8.51748
6 57 -8.51079
6 58 -8.50299
6 59 -8.49403
6 60 -8.48385
6 61 -8.47236
6 62 -8.45949
6 63 -8.44515
6 64 -8.42922
6 65 -8.41159
6 66 -8.39212
6 67 -8.37065
6 68 -8.347
6 69 -8.32098
6 70 -8.29235
6 71 -8.26086
6 72 -8.22621
6 73 -8.18805
6 74 -8.146
6 75 -8.0996
6 76 -8.04833
6 77 -7.99158
6 78 -7.92863
6 79 -7.85865
6 80 -7.78063
6 81 -7.69342
6 82 -7.59559
6 83 -7.48545
6 84 -7.36096
6 85 -7.21961
6 86 -7.05835
6 87 -6.87342
6 88 -6.66017
6 89 -6.41282
6 90 -6.12424
6 91 -5.78562
6 92 -5.38631
6 93 -4.91373
6 94 -4.35386
6 95 -3.69267
6 96 -2.91934
6 97 -2.03204
6 98 -1.04592
6 99 0
7 0 0
7 1 -0.891713
7 2 -1.74581
7 3 -2.53432
7 4 -3.24233
7 5 -3.86602
7 6 -4.40898
7 7 -4.8787
7 8 -5.28413
7 9 -5.6342
7 10 -5.93714
7 11 -6.20013
7 12 -6.42933
7 13 -6.62988
7 14 -6.80611
7 15 -6.96159
7 16 -7.0993
7 17 -7.22172
7 18 -7.33091
7 19 -7.42862
7 20 -7.5163
7 21 -7.59519
7 22 -7.66634
7 23 -7.73064
7 24 -7.78887
7 25 -7.84168
7 26 -7.88964
7 27 -7.93324
7 28 -7.97293
7 29 -8.00906
7 30 -8.04198
7 31 -8.07196
7 32 -8.09926
7 33 -8.12411
7 34 -8.14671
7 35 -8.16721
7 36 -8.18579
7 37 -8.20258
7 38 -8.21769
7 39 -8.23123
7 40 -8.24329
7 41 -8.25396
7 42 -8.2633
7 43 -8.27137
7 44 -8.27823
7 45 -8.28392
7 46 -8.28848
7 47 -8.29192
7 48 -8.29427
7 49 -8.29555
7 50 -8.29575
7 51 -8.29489
7 52 -8.29294
7 53 -8.28991
7 54 -8.28576
7 55 -8.28047
7 56 -8.274
7 57 -8.2663
7 58 -8.25734
7 59 -8.24703
7 60 -8.23532
7 61 -8.22213
7 62 -8.20734
7 63 -8.19087
7 64 -8.17259
7 65 -8.15237
7 66 -8.13004
7 67 -8.10543
7 68 -8.07835
7 69 -8.04858
7 70 -8.01585
7 71 -7.97988
7 72 -7.94033
7 73 -7.89684
7 74 -7.84897
7 75 -7.79623
7 76 -7.73804
7 77 -7.67375
7 78 -7.60259
7 79 -7.52365
7 80 -7.4359
7 81 -7.33809
7 82 -7.22877
7 83 -7.10619
7 84 -6.96829
7 85 -6.81258
7 86 -6.6361
7 87 -6.43526
7 88 -6.20574
7 89 -5.9424
7 90 -5.63908
7 91 -5.28859
7 92 -4.88272
7 93 -4.41251
7 94 -3.86904
7 95 -3.24481
7 96 -2.53623
7 97 -1.74711
7 98 -0.892381
7 99 0
8 0 0
8 1 -0.775734
8 2 -1.52632
8 3 -2.23154
8 4 -2.87853
8 5 -3.46161
8 6 -3.98063
8 7 -4.43898
8 8 -4.84198
8 9 -5.19568
8 10 -5.50612
8 11 -5.77893
8 12 -6.01919
8 13 -6.23133
8 14 -6.41918
8 15 -6.58602
8 16 -6.73464
8 17 -6.86742
8 18 -6.98636
8 19 -7.0932
8 20 -7.18938
8 21 -7.27618
8 22 -7.35465
8 23 -7.42574
8 24 -7.49024
8 25 -7.54884
8 26 -7.60214
8 27 -7.65068
8 28 -7.6949
8 29 -7.73521
8 30 -7.77197
8 31 -7.80549
8 32 -7.83604
8 33 -7.86386
8 34 -7.88917
8 35 -7.91216
8 36 -7.933
8 37 -7.95184
8 38 -7.9688
8 39 -7.98401
8 40 -7.99757
8 41 -8.00956
8 42 -8.02006
8 43 -8.02914
8 44 -8.03685
8 45 -8.04325
8 46 -8.04837
8 47 -8.05225
8 48 -8.05489
8 49 -8.05633
8 50 -8.05656
8 51 -8.05559
8 52 -8.0534
8 53 -8.04999
8 54 -8.04532
8 55 -8.03937
8 56 -8.03209
8 57 -8.02344
8 58 -8.01336
8 59 -8.00178
8 60 -7.98863
8 61 -7.9738
8 62 -7.95721
8 63 -7.93873
8 64 -7.91822
8 65 -7.89555
8 66 -7.87053
8 67 -7.84299
8 68 -7.81269
8 69 -7.77941
8 70 -7.74286
8 71 -7.70272
8 72 -7.65866
8 73 -7.61026
8 74 -7.55705
8 75 -7.49853
8 76 -7.43408
8 77 -7.363
8 78 -7.28451
8 79 -7.19766
8 80 -7.1014
8 81 -6.99445
8 82 -6.87536
8 83 -6.7424
8 84 -6.59356
8 85 -6.42647
8 86 -6.23833
8 87 -6.02587
8 88 -5.78525
8 89 -5.51204
8 90 -5.20118
8 91 -4.84701
8 92 -4.4435
8 93 -3.98461
8 94 -3.46502
8 95 -2.88133
8 96 -2.23369
8 97 -1.52779
8 98 -0.776486
8 99 0
9 0 0
9 1 -0.684938
9 2 -1.35226
9 3 -1.98704
9 4 -2.57872
9 5 -3.12137
9 6 -3.61305
9 7 -4.05473
9 8 -4.44929
9 9 -4.80058
9 10 -5.11288
9 11 -5.39046
