X Y |E| dxE dyE 
2 31 0.277853 0.277729 -0.00832333
2 32 0.273761 0.273657 -0.00755685
2 33 0.270044 0.269957 -0.00685545
2 34 0.26667 0.266598 -0.00621108
2 35 0.263612 0.263552 -0.00561676
2 36 0.260846 0.260797 -0.00506636
2 37 0.25835 0.25831 -0.00455449
2 38 0.256105 0.256073 -0.00407636
2 39 0.254096 0.25407 -0.00362773
2 40 0.252307 0.252287 -0.00320476
2 41 0.250727 0.250711 -0.00280399
2 42 0.249344 0.249332 -0.00242227
2 43 0.248149 0.24814 -0.0020567
2 44 0.247134 0.247128 -0.00170458
2 45 0.246293 0.246289 -0.0013634
2 46 0.24562 0.245618 -0.00103078
2 47 0.245112 0.245111 -0.000704437
2 48 0.244765 0.244764 -0.000382186
2 49 0.244576 0.244576 -6.18774e-05
2 50 0.244546 0.244546 0.000258608
2 51 0.244674 0.244674 0.000581391
2 52 0.244962 0.24496 0.000908616
2 53 0.245411 0.245408 0.00124248
2 54 0.246025 0.246019 0.00158525
2 55 0.246808 0.2468 0.0019393
2 56 0.247765 0.247755 0.00230716
2 57 0.248904 0.24889 0.00269152
2 58 0.250233 0.250214 0.00309525
2 59 0.251761 0.251736 0.00352153
2 60 0.253498 0.253467 0.00397381
2 61 0.255459 0.25542 0.00445591
2 62 0.257657 0.257609 0.00497208
2 63 0.260108 0.26005 0.0055271
2 64 0.262833 0.262762 0.00612635
2 65 0.265852 0.265766 0.00677595
2 66 0.26919 0.269086 0.00748289
2 67 0.272874 0.27275 0.00825521
2 68 0.276938 0.276788 0.00910221
2 69 0.281415 0.281236 0.0100347
2 70 0.286349 0.286135 0.0110654
2 71 0.291787 0.291531 0.0122093
2 72 0.297782 0.297477 0.0134841
2 73 0.304398 0.304033 0.014911
2 74 0.311709 0.311271 0.0165155
2 75 0.319798 0.319272 0.0183286
2 76 0.328765 0.328133 0.0203882
2 77 0.338729 0.337964 0.0227409
2 78 0.349826 0.348899 0.0254449
2 79 0.362223 0.361094 0.0285735
2 80 0.376119 0.374736 0.0322197
2 81 0.391754 0.39005 0.0365033
2 82 0.409425 0.407308 0.041581
2 83 0.429496 0.426843 0.0476599
2 84 0.452422 0.449065 0.055019
2 85 0.478782 0.47448 0.0640411
2 86 0.509317 0.503725 0.0752618
